INFO 2025-11-28 11:15:00,112 autoreload 11820 500 Watching for file changes with StatReloader
INFO 2025-11-28 11:15:20,429 autoreload 3436 276 Watching for file changes with StatReloader
INFO 2025-11-28 11:16:54,294 autoreload 5964 12492 Watching for file changes with StatReloader
WARNING 2025-11-28 11:16:56,180 basehttp 5964 12456 "GET / HTTP/1.1" 404 4081
WARNING 2025-11-28 11:16:56,362 basehttp 5964 12456 "GET /favicon.ico HTTP/1.1" 404 4132
INFO 2025-11-28 11:17:57,649 autoreload 12812 5504 Watching for file changes with StatReloader
WARNING 2025-11-28 11:18:09,470 basehttp 12812 2812 "GET / HTTP/1.1" 404 4081
INFO 2025-11-28 11:18:20,380 basehttp 12812 5892 "GET /health/ HTTP/1.1" 200 5516
INFO 2025-11-28 11:18:20,523 basehttp 12812 5892 "GET /static/rest_framework/css/bootstrap.min.css HTTP/1.1" 200 121457
INFO 2025-11-28 11:18:20,525 basehttp 12812 5892 "GET /static/rest_framework/css/prettify.css HTTP/1.1" 200 817
INFO 2025-11-28 11:18:20,527 basehttp 12812 5892 "GET /static/rest_framework/css/default.css HTTP/1.1" 200 1152
INFO 2025-11-28 11:18:20,529 basehttp 12812 5892 "GET /static/rest_framework/js/jquery-3.7.1.min.js HTTP/1.1" 200 87533
INFO 2025-11-28 11:18:20,530 basehttp 12812 3424 "GET /static/rest_framework/css/bootstrap-tweaks.css HTTP/1.1" 200 3426
INFO 2025-11-28 11:18:20,530 basehttp 12812 5892 "GET /static/rest_framework/js/ajax-form.js HTTP/1.1" 200 3796
INFO 2025-11-28 11:18:20,531 basehttp 12812 3424 "GET /static/rest_framework/js/csrf.js HTTP/1.1" 200 1793
INFO 2025-11-28 11:18:20,532 basehttp 12812 5892 "GET /static/rest_framework/js/bootstrap.min.js HTTP/1.1" 200 39680
INFO 2025-11-28 11:18:20,533 basehttp 12812 5892 "GET /static/rest_framework/js/default.js HTTP/1.1" 200 1268
INFO 2025-11-28 11:18:20,534 basehttp 12812 3424 "GET /static/rest_framework/js/prettify-min.js HTTP/1.1" 200 13632
